Wavenumbers	Absorbance	
3794.000	0.05718351	
3793.500	0.05723143	
3793.000	0.05736536	
3792.500	0.05755657	
3792.000	0.0577478	
3791.500	0.05800626	
3791.000	0.05845061	
3790.500	0.05910528	
3790.000	0.05987244	
3789.500	0.06062414	
3789.000	0.06130958	
3788.500	0.06196631	
3788.000	0.06262629	
3787.500	0.06326871	
3787.000	0.06388322	
3786.500	0.06454888	
3786.000	0.06539203	
3785.500	0.06642448	
3785.000	0.06751768	
3784.500	0.06857202	
3784.000	0.06962779	
3783.500	0.07079876	
3783.000	0.07212998	
3782.500	0.07357898	
3782.000	0.07508783	
3781.500	0.07662512	
3781.000	0.07816537	
3780.500	0.07966694	
3780.000	0.08110995	
3779.500	0.08252342	
3779.000	0.08396457	
3778.500	0.08548216	
3778.000	0.08706119	
3777.500	0.08868155	
3777.000	0.09045118	
3776.500	0.09262727	
3776.000	0.09528667	
3775.500	0.09822385	
3775.000	0.101233	
3774.500	0.1044389	
3774.000	0.1080796	
3773.500	0.1122621	
3773.000	0.1168757	
3772.500	0.1217934	
3772.000	0.1269906	
3771.500	0.1324178	
3771.000	0.1380197	
3770.500	0.1437779	
3770.000	0.1498121	
3769.500	0.1562399	
3769.000	0.1631171	
3768.500	0.1704208	
3768.000	0.1780862	
3767.500	0.186096	
3767.000	0.1945544	
3766.500	0.2035682	
3766.000	0.213152	
3765.500	0.2231065	
3765.000	0.2333225	
3764.500	0.2438246	
3764.000	0.2546208	
3763.500	0.2656278	
3763.000	0.2766834	
3762.500	0.2875299	
3762.000	0.2978062	
3761.500	0.3071274	
3761.000	0.3153505	
3760.500	0.3223593	
3760.000	0.3280944	
3759.500	0.3323813	
3759.000	0.3352121	
3758.500	0.3367677	
3758.000	0.3370133	
3757.500	0.3357824	
3757.000	0.3330689	
3756.500	0.3291673	
3756.000	0.3245352	
3755.500	0.3194205	
3755.000	0.3135592	
3754.500	0.306901	
3754.000	0.2997857	
3753.500	0.2925618	
3753.000	0.2851931	
3752.500	0.277322	
3752.000	0.2686022	
3751.500	0.2592992	
3751.000	0.250254	
3750.500	0.2416058	
3750.000	0.2329016	
3749.500	0.2244315	
3749.000	0.2169211	
3748.500	0.2106338	
3748.000	0.2052158	
3747.500	0.2002842	
3747.000	0.1957317	
3746.500	0.1915432	
3746.000	0.1878003	
3745.500	0.184305	
3745.000	0.1807743	
3744.500	0.1773541	
3744.000	0.1742358	
3743.500	0.171366	
3743.000	0.1685377	
3742.500	0.1656599	
3742.000	0.1629628	
3741.500	0.1610809	
3741.000	0.1604541	
3740.500	0.1605643	
3740.000	0.1610519	
3739.500	0.1622801	
3739.000	0.1645822	
3738.500	0.1678093	
3738.000	0.1715141	
3737.500	0.1751606	
3737.000	0.1784009	
3736.500	0.1813001	
3736.000	0.1841303	
3735.500	0.1869341	
3735.000	0.1895128	
3734.500	0.191617	
3734.000	0.1931273	
3733.500	0.1941881	
3733.000	0.1950121	
3732.500	0.1956038	
3732.000	0.1959049	
3731.500	0.1960046	
3731.000	0.195969	
3730.500	0.1956808	
3730.000	0.1950327	
3729.500	0.1941052	
3729.000	0.1932411	
3728.500	0.1925638	
3728.000	0.1918353	
3727.500	0.1908937	
3727.000	0.1897928	
3726.500	0.1888048	
3726.000	0.1879721	
3725.500	0.1868445	
3725.000	0.185064	
3724.500	0.1827029	
3724.000	0.1799009	
3723.500	0.1768822	
3723.000	0.1739341	
3722.500	0.1710221	
3722.000	0.168023	
3721.500	0.1651301	
3721.000	0.1625094	
3720.500	0.1599787	
3720.000	0.1573867	
3719.500	0.1549156	
3719.000	0.1528277	
3718.500	0.1511862	
3718.000	0.1500456	
3717.500	0.1493254	
3717.000	0.1488367	
3716.500	0.1487612	
3716.000	0.1494199	
3715.500	0.1505407	
3715.000	0.1516716	
3714.500	0.1528489	
3714.000	0.1542751	
3713.500	0.1560117	
3713.000	0.158155	
3712.500	0.1606678	
3712.000	0.1633609	
3711.500	0.1661064	
3711.000	0.1688596	
3710.500	0.1715651	
3710.000	0.1743173	
3709.500	0.177239	
3709.000	0.1804516	
3708.500	0.1841956	
3708.000	0.1886284	
3707.500	0.1934553	
3707.000	0.1985964	
3706.500	0.2045766	
3706.000	0.2115873	
3705.500	0.2191227	
3705.000	0.2267477	
3704.500	0.2350638	
3704.000	0.2435944	
3703.500	0.2521594	
3703.000	0.2616776	
3702.500	0.2719854	
3702.000	0.282517	
3701.500	0.292843	
3701.000	0.303405	
3700.500	0.3145616	
3700.000	0.3258288	
3699.500	0.3368331	
3699.000	0.3480365	
3698.500	0.359698	
3698.000	0.3712353	
3697.500	0.3822481	
3697.000	0.3931433	
3696.500	0.4039975	
3696.000	0.413887	
3695.500	0.4223766	
3695.000	0.4301397	
3694.500	0.4374747	
3694.000	0.4431235	
3693.500	0.4471843	
3693.000	0.4505544	
3692.500	0.4524612	
3692.000	0.4522186	
3691.500	0.4496442	
3691.000	0.4454409	
3690.500	0.439539	
3690.000	0.4313338	
3689.500	0.4209922	
3689.000	0.4095113	
3688.500	0.3971228	
3688.000	0.3834885	
3687.500	0.3689267	
3687.000	0.3541702	
3686.500	0.3391747	
3686.000	0.3237023	
3685.500	0.3084024	
3685.000	0.2941771	
3684.500	0.280818	
3684.000	0.2676311	
3683.500	0.25487	
3683.000	0.2431392	
3682.500	0.232392	
3682.000	0.2223167	
3681.500	0.212985	
3681.000	0.204517	
3680.500	0.1967529	
3680.000	0.1894899	
3679.500	0.1828524	
3679.000	0.176931	
3678.500	0.171354	
3678.000	0.1656525	
3677.500	0.1599323	
3677.000	0.1544985	
3676.500	0.1492111	
3676.000	0.1437369	
3675.500	0.1382061	
3675.000	0.1329866	
3674.500	0.1280797	
3674.000	0.1231529	
3673.500	0.1181113	
3673.000	0.113218	
3672.500	0.1087107	
3672.000	0.1045112	
3671.500	0.1004147	
3671.000	0.09640908	
3670.500	0.09260089	
3670.000	0.08890432	
3669.500	0.08516008	
3669.000	0.08131238	
3668.500	0.07735271	
3668.000	0.07329607	
3667.500	0.06928302	
3667.000	0.06545828	
3666.500	0.06186925	
3666.000	0.05855421	
3665.500	0.05567519	
3665.000	0.05331216	
3664.500	0.05133801	
3664.000	0.04946188	
3663.500	0.04758276	
3663.000	0.04586901	
3662.500	0.04451661	
3662.000	0.04341996	
3661.500	0.04234656	
3661.000	0.04127764	
3660.500	0.04038273	
3660.000	0.0397707	
3659.500	0.03936289	
3659.000	0.03892907	
3658.500	0.03831622	
3658.000	0.03759936	
3657.500	0.03694773	
3657.000	0.03636381	
3656.500	0.03570148	
3656.000	0.03489882	
3655.500	0.03406211	
3655.000	0.03329533	
3654.500	0.03263937	
3654.000	0.03221445	
3653.500	0.03224149	
3653.000	0.03279655	
3652.500	0.03356046	
3652.000	0.03412396	
3651.500	0.03442239	
3651.000	0.03464242	
3650.500	0.03483799	
3650.000	0.0348161	
3649.500	0.03433656	
3649.000	0.03332244	
3648.500	0.03184094	
3648.000	0.03008619	
3647.500	0.02811732	
3647.000	0.02588392	
3646.500	0.02338922	
3646.000	0.02081256	
3645.500	0.01837018	
3645.000	0.01618131	
3644.500	0.01433774	
3644.000	0.01293292	
3643.500	0.01191784	
3643.000	0.01106256	
3642.500	0.01017352	
3642.000	0.009261511	
3641.500	0.008454747	
3641.000	0.007804356	
3640.500	0.00726971	
3640.000	0.00679661	
3639.500	0.00635047	
3639.000	0.005846176	
3638.500	0.005294052	
3638.000	0.004740941	
3637.500	0.004177767	
3637.000	0.003609408	
3636.500	0.003024209	
3636.000	0.002503018	
3635.500	0.00223133	
3635.000	0.002193193	
3634.500	0.002265671	
3634.000	0.002501799	
3633.500	0.003009322	
3633.000	0.003843317	
3632.500	0.005021419	
3632.000	0.006388452	
3631.500	0.007715021	
3631.000	0.008837337	
3630.500	0.009642347	
3630.000	0.01009843	
3629.500	0.01018303	
3629.000	0.009861497	
3628.500	0.009223553	
3628.000	0.008320288	
3627.500	0.007134638	
3627.000	0.005730663	
3626.500	0.004252783	
3626.000	0.002965471	
3625.500	0.002016237	
3625.000	0.001267248	
3624.500	0.000779463	
3624.000	0.0009135396	
3623.500	0.001645125	
3623.000	0.002654309	
3622.500	0.003692252	
3622.000	0.004565762	
3621.500	0.005256805	
3621.000	0.005928788	
3620.500	0.006572851	
3620.000	0.00703259	
3619.500	0.007324175	
3619.000	0.007569893	
3618.500	0.007775589	
3618.000	0.007835015	
3617.500	0.007761603	
3617.000	0.007589105	
3616.500	0.007350011	
3616.000	0.007263286	
3615.500	0.007428405	
3615.000	0.007587437	
3614.500	0.007681935	
3614.000	0.007915961	
3613.500	0.008223709	
3613.000	0.008489969	
3612.500	0.008843521	
3612.000	0.009325541	
3611.500	0.009819656	
3611.000	0.01034026	
3610.500	0.01087449	
3610.000	0.01129369	
3609.500	0.01163033	
3609.000	0.01200619	
3608.500	0.01234051	
3608.000	0.01250296	
3607.500	0.012567	
3607.000	0.01263705	
3606.500	0.01277734	
3606.000	0.01303808	
3605.500	0.01329989	
3605.000	0.01341868	
3604.500	0.0136117	
3604.000	0.0141139	
3603.500	0.01477563	
3603.000	0.01545309	
3602.500	0.0161536	
3602.000	0.01674547	
3601.500	0.01712124	
3601.000	0.01750654	
3600.500	0.01796808	
3600.000	0.01820627	
3599.500	0.01820698	
3599.000	0.0182911	
3598.500	0.01841139	
3598.000	0.01822271	
3597.500	0.01781509	
3597.000	0.01749083	
3596.500	0.01712765	
3596.000	0.01645152	
3595.500	0.01567579	
3595.000	0.01515972	
3594.500	0.01477088	
3594.000	0.01416843	
3593.500	0.01349017	
